Spec,Price,product link
Classic Macbook Soft Sleeve Case/Bag.Suitable For 11 12 13 14 15.6 Inches, 5200,https://www.jumia.com.ng/generic-classic-macbook-soft-sleeve-casebag.suitable-for-11-12-13-14-15.6-inches-77393189.html
Adjustable Folding Laptop Stand Desk, 11999,https://www.jumia.com.ng/generic-adjustable-folding-laptop-stand-desk-100236781.html
Lenovo Intel Celeron N400 4GB RAM 64GB EMMC 11.6 inches Windows 10, 128480,https://www.jumia.com.ng/lenovo-intel-celeron-n400-4gb-ram-64gb-emmc-11.6-inches-windows-10-97074644.html
"Portable Aluminum 7~15.4 Inch Macbook Laptop Stand Also For Tablet Notebook, Laptops", 7500,https://www.jumia.com.ng/generic-portable-aluminum-715.4-inch-macbook-laptop-stand-also-for-tablet-notebook-laptops-71922198.html
Lenovo Ideapad 15 - AMD DUAL CORE 1TB HDD 8GB RAM Win 10+32GB Flash, 171000,https://www.jumia.com.ng/lenovo-ideapad-15-amd-dual-core-1tb-hdd-8gb-ram-win-1032gb-flash-106703812.html
"7~15.4 Inch Laptop Stand Also For Tablet Notebook, Laptops", 7500,https://www.jumia.com.ng/generic-715.4-inch-laptop-stand-also-for-tablet-notebook-laptops-82043452.html
Hp 15 Intel Celeron N4020 8GB RAM 1TB HDD Windows 10 + Mouse, 188000,https://www.jumia.com.ng/hp-15-intel-celeron-n4020-8gb-ram-1tb-hdd-windows-10-mouse-105653173.html
Hp Pavilion 15 Intel Core I3 - 12GB RAM - TOUCHSCREEN -10TH GEN- 1TB HDD Windows 10, 267000,https://www.jumia.com.ng/hp-pavilion-15-intel-core-i3-12gb-ram-touchscreen-10th-gen-1tb-hdd-windows-10-104251235.html
"Hp Stream 11 Intel Celeron (4GB RAM,32GB SSD+ 32GB Flash+ Mouse+ USB Light For Keyboard) SSD11.6Inch Wins 10", 125000,https://www.jumia.com.ng/hp-stream-11-intel-celeron-4gb-ram32gb-ssd-32gb-flash-mouse-usb-light-for-keyboard-ssd11.6inch-wins-10-36888410.html
Lenovo Ideapad 15 - AMD QUAD CORE 1TB HDD 8GB RAM Win 10+32GB Flash, 180000,https://www.jumia.com.ng/lenovo-ideapad-15-amd-quad-core-1tb-hdd-8gb-ram-win-1032gb-flash-90086587.html
Lenovo Ideapad 15 - AMD QUAD CORE 1TB HDD 4GB RAM Win 10+32GB Flash, 180000,https://www.jumia.com.ng/lenovo-ideapad-15-amd-quad-core-1tb-hdd-4gb-ram-win-1032gb-flash-90086586.html
Hp 14-DQ0003 Celeron Dual-Core 64GB EMMC 4GB RAM WIN10, 182000,https://www.jumia.com.ng/hp-14-dq0003-celeron-dual-core-64gb-emmc-4gb-ram-win10-98303450.html
